,F1,F2,F3,F4,F5,F6,Construct
PE1,0.6923923157632006,0.16395530142261683,0.015480602120302599,0.06774837316598067,-0.0194044405885571,0.06881611035866103,PE
PE2,0.7553787127348393,-0.029663090863578497,-0.006485830773642866,-0.01149444012760358,0.02906498520428645,0.06608881159566724,PE
EE1,-0.014610001638446864,1.152829850049814,-0.05194453465127695,0.0421130907690959,-0.0148504201092536,-0.02503534693277347,EE
EE2,0.08095656233213373,0.4999717971558315,0.04886233225923505,-0.08985127966818962,0.019126010512913495,-0.03563660825675766,EE
SI1,0.365024083523215,0.052953482023633765,0.017811822128639427,-0.06658757085150203,-0.0649789207433691,0.6340596163754685,SI
SI2,0.07991249392726606,-0.0633927728766699,-0.0331362610263804,0.010727064483584394,0.009624118199730023,0.7142337447415144,SI
FC1,-0.129673152760968,0.05674803448529113,0.4316684000946992,0.10804915919231156,0.039388827454072343,0.21149050328085248,FC
FC2,0.09659535775166087,-0.040893089644260694,1.1035181095916315,-0.0737652728046221,-0.049780731444249826,-0.051136099663596286,FC
HM1,1.115817583158302,0.04075209175182511,0.07037689182323877,0.05578639558988346,0.006752485153643969,-0.03572947833018283,HM
HM2,0.9769803793975059,-0.08715870805048198,0.021566307235489617,0.011290789832303279,0.05698609359669954,-0.029249342017838572,HM
PV1,0.8309974510011867,0.04331126175442222,-0.09198407197703849,-0.030707725770577336,-0.08742844436878246,0.03896451586732144,PV
PV2,0.9540534133191112,-0.08183576528993002,-0.024259013694815573,-0.055192392755705755,-0.006404223760314034,0.016120145665755804,PV
HB1,0.24732861393611852,-0.005120170755961548,-0.017226723006145722,-0.06428578132133454,-0.07288759898317329,-0.026415139087355256,HB
HB2,0.42492361594118816,-0.03408238237681524,0.025335985942580505,0.04054083159626674,0.13009089003092864,-0.0035692645637888792,HB
VO1,0.7753809071628479,-0.003258191188587117,0.022724607680575847,0.052503217669452415,-0.026955829180423236,-0.002755452083298575,VO
VO2,0.004641001559012551,0.0024270349441857034,-0.006017182164559459,0.023057704233609998,0.056581566927839534,0.07144049792887577,VO
TR1,0.34721538906049476,0.051509312675923,-0.0060636794489245084,0.00228561278932505,0.5813570654360251,0.03518392168651568,TR
TR2,0.24708541070624895,-0.038889347569423006,-0.042759641875593855,-0.016879927500761928,0.8302894918427776,-0.03741844988202049,TR
EX1,0.0398775726570182,-0.008941901909413909,-0.08743556675775789,0.0022728052132684542,-0.019204574289334662,0.029706558851319488,EX
EX2,0.2978083237590095,0.020458284222309005,0.09776956740920648,-0.01622186329869982,0.031351285520128995,-0.07767705587688528,EX
ER1,0.12821773378878173,0.013317692176912144,0.0007301502722390549,0.737058082522371,0.06721289942466248,-0.0005355293348890009,ER
ER2,-0.05285737671513213,0.011996613784597166,-0.041611997365462006,0.5953939135516126,-0.01794680586618759,0.05601928490643737,ER
AX1,-0.18836549063227429,-0.028706439412111158,0.0003860068704247373,0.5560614214624079,-0.1430990519405067,-0.11287962699415188,AX
AX2,-0.033211682428607676,-0.007015153174915602,0.006375887449121421,0.05136439733814957,0.023250491404449833,0.021183038856599362,AX
