Metric,UTAUT2-Only,UTAUT2+Trust,Difference,Interpretation
χ²,244.62868307632104,241.5826732392608,-3.0460098370602395,→ Better
df,85.0,84.0,-1.0,
χ²/df,2.8779845067802476,2.875984205229295,-0.0020003015509524325,
CFI,0.9793179737869487,0.9795830616663119,0.00026508787936319056,≈ Similar
TLI,0.966908758059118,0.9669440046026003,3.5246543482303494e-05,≈ Similar
RMSEA,0.05998059243561768,0.05994864029833654,-3.19521372811396e-05,≈ Similar
AIC,135.0645174643353,137.07616568550952,2.0116482211742266,→ Better
BIC,424.71605702075004,430.9872867059892,6.271229685239177,→ Better
LogLik,0.4677412678323538,0.4619171572452405,-0.005824110587113296,
