Factor,Eigenvalue,Variance %,Cumulative %
1,11.152395020577668,46.46831258574027,46.46831258574027
2,2.152141393456144,8.967255806067264,55.435568391807536
3,1.394950856966607,5.812295237360861,61.2478636291684
4,1.122864577538735,4.678602406411395,65.9264660355798
5,0.8093301238847567,3.372208849519819,69.29867488509962
6,0.7779435310512842,3.24143137938035,72.54010626447996
7,0.7015882404695527,2.9232843352898024,75.46339059976977
8,0.682258375670189,2.8427432319591204,78.30613383172889
9,0.5686823116649317,2.369509631937215,80.6756434636661
10,0.5357786002228211,2.232410834261754,82.90805429792786
11,0.51465976762342,2.1444156984309166,85.05246999635878
12,0.4838752643681335,2.0161469348672223,87.068616931226
13,0.4077049480862807,1.6987706170261696,88.76738754825217
14,0.3725676450666973,1.5523651877779052,90.31975273603008
15,0.3395080877078716,1.4146170321161313,91.73436976814621
16,0.33288887319021976,1.3870369716259154,93.12140673977213
17,0.29138622705913325,1.214109279413055,94.33551601918518
18,0.2697033923854334,1.1237641349393055,95.45928015412449
19,0.2467858072047596,1.028274196686498,96.48755435081098
20,0.2310949133448706,0.9628954722702939,97.45044982308127
21,0.19654054010509603,0.8189189171045667,98.26936874018584
22,0.1714009716291663,0.7141707151215261,98.98353945530737
23,0.1435689246792862,0.598203852830359,99.58174330813773
24,0.10038160604694092,0.4182566918622538,99.99999999999999
