,F1,F2,Construct,Communality
PE1,0.7778658184709788,-0.040075540602197306,PE,0.6066812805000842
PE2,0.8178361159473493,-0.13592907625579065,PE,0.6873326263195987
EE1,0.6820924544974282,-0.012080477658917343,EE,0.4653960544227937
EE2,0.6699202899826782,-0.07356136792577894,EE,0.4542044697815874
SI1,0.7201576704593836,0.0029293987894930883,SI,0.518635651698754
SI2,0.5950871269947209,0.015047906417803217,SI,0.35435512820239
FC1,0.5658102537646934,0.11357966258503989,FC,0.3330415830181983
FC2,0.7309570658580025,-0.004589632438862365,FC,0.5343192968536641
HM1,0.7590607083790473,-0.09638902934022407,HM,0.5854640039820517
HM2,0.8225780783105033,-0.08911610522378688,HM,0.6845763751272577
PV1,0.8198560262123975,-0.05776531262758946,PV,0.6755007350597466
PV2,0.8122980940274673,-0.07169804698739853,PV,0.6649688035024633
HB1,0.7625117134011659,0.017266957058679762,HB,0.581722260880048
HB2,0.7347467911872467,0.027691558820891082,HB,0.5406196695898864
VO1,0.8054437313140123,-0.0174815732487319,VO,0.6490452097162895
VO2,0.25731521046364086,0.17116485635700637,VO,0.09550852558766242
TR1,0.808371639709415,-0.1096738591105753,TR,0.6654930632586945
TR2,0.8367316579195601,-0.06229437578929343,TR,0.7040004566197934
EX1,0.585124827887983,0.09886041833104833,EX,0.35214444652353166
EX2,0.5788739263890713,0.12869431040462678,EX,0.3516572481836224
ER1,0.05446430470422473,0.6324962016284622,ER,0.4030178055613469
ER2,-0.196043485522225,0.6349893376507922,ER,0.44164450714589465
AX1,-0.39655400352936115,0.6197766634532629,AX,0.5413781902764236
AX2,0.19800198881809267,0.5538498063117959,AX,0.345954395527534
