Factor,Item,Loading,SE,z,p,Construct,Sig
Facilitators,PE1,0.8088281729269765,-,-,-,PE,(fixed)
Facilitators,PE2,0.8541848262976489,0.08416316192377962,12.556564898749016,0.0,PE,***
Facilitators,EE1,0.7003395787152109,0.08088993880720595,9.517615542434605,0.0,EE,***
Facilitators,EE2,0.7874790265232946,0.08038176494864142,11.150258266313545,0.0,EE,***
Facilitators,SI1,0.7869999261240218,0.09061312724486288,11.140702811771373,0.0,SI,***
Facilitators,SI2,0.7702621187326392,0.07950838560202074,10.811246556861057,0.0,SI,***
Facilitators,FC1,0.6754433755654913,0.09663762879775034,9.085150561783173,0.0,FC,***
Facilitators,FC2,0.716397577376709,0.08128845825948694,9.803888090146101,0.0,FC,***
Facilitators,HM1,0.869192554061337,0.08460398615099937,12.896099952300828,0.0,HM,***
Facilitators,HM2,0.89321759803611,0.08094363212429165,13.459940687261428,0.0,HM,***
Facilitators,PV1,0.8789956131720802,0.08306762473512012,13.123051464292187,0.0,PV,***
Facilitators,PV2,0.8713188032660707,0.07849649979556886,12.944970364166636,0.0,PV,***
Facilitators,HB1,0.825942448684294,0.09690098591676277,11.941811219611434,0.0,HB,***
Facilitators,HB2,0.8237775085085943,0.09413940450729773,11.895914743398752,0.0,HB,***
Facilitators,VO1,0.8322860051701054,0.09440141507677496,12.077271601329889,0.0,VO,***
Facilitators,VO2,0.1945669725611406,0.09875511748776684,2.341430311110713,0.01921001189637006,VO,*
Facilitators,TR1,0.8097624238911463,0.08861369045058322,11.602785113234807,0.0,TR,***
Facilitators,TR2,0.8317064534436042,0.08589996797277304,12.064834699002523,0.0,TR,***
Facilitators,EX1,0.6872953507150363,0.08646286487113289,9.289362445456012,0.0,EX,***
Facilitators,EX2,0.4953384533168586,0.07257010694301275,6.2798139865427105,3.3897840090446607e-10,EX,***
Inhibitors,ER1,0.36772161318516916,-,-,-,ER,(fixed)
Inhibitors,ER2,0.6478644902045407,0.33667652270907295,4.2061788687278,2.597246987279256e-05,ER,***
Inhibitors,AX1,0.9698235230933251,0.6042671822668981,3.971734554417169,7.135120018242347e-05,AX,***
Inhibitors,AX2,0.2085217363636111,0.23621100329286815,2.2032475418836395,0.02757730611531617,AX,*
