,F1,Construct,Communality
PE2,0.7786912176504918,PE,0.6063600124460056
EE1,0.5346040701072362,EE,0.2858015117752227
SI1,0.6691603990310937,SI,0.44777563963145256
FC1,0.362167500432777,FC,0.13116529836972554
HM1,0.7635977040281684,HM,0.5830814535970903
HM2,0.8243646946037602,HM,0.6795771497091507
PV1,0.8197084445808064,PV,0.6719219341170849
PV2,0.7958966202745762,PV,0.6334514301644929
HB1,0.7484660464035826,HB,0.5602014226190098
HB2,0.6907154881621381,HB,0.4770878855870608
VO1,0.7714407096517557,VO,0.5951207685080044
TR1,0.689451073158101,TR,0.47534278227885707
EX1,0.41573528668530085,EX,0.1728358285953093
ER2,-0.3133904025053411,ER,0.09821354438245972
AX2,0.2004112101926251,AX,0.040164653170872554
