Item,Construct,Primary_Factor,Primary_Loading,Secondary_Loading,Communality,Status
PE1,PE,F1,0.84018473677483,0.0020282587599854923,0.7059145057429878,✓ Good
PE2,PE,F1,0.8297469231067575,0.10916413421251767,0.7003967646034999,✓ Good
EE1,EE,F1,0.6331837997212775,0.03053502999690054,0.4018541122863864,✓ Good
SI1,SI,F1,0.7755175131743319,0.13058904281067413,0.6184809113423082,✓ Good
SI2,SI,F1,0.6504387445180643,0.027205935103715734,0.4238107232751033,✓ Good
FC1,FC,F1,0.5811170848997809,0.06417557993937165,0.3418155714229738,⚠️ Low communality (0.34)
FC2,FC,F1,0.6860195685529739,0.063280511458875,0.4746272715681052,✓ Good
HM1,HM,F1,0.8388938014671828,0.058162080480856665,0.7071256377459229,✓ Good
HM2,HM,F1,0.8803785706089264,0.10606305926232566,0.7863158001275001,✓ Good
PV1,PV,F1,0.7990339266402613,0.0314061207085104,0.639441560340112,✓ Good
PV2,PV,F1,0.8499571900062198,0.05114613011232986,0.7250431514687367,✓ Good
HB1,HB,F1,0.8096880003878191,0.048747898175978965,0.6579710155486005,✓ Good
HB2,HB,F1,0.7848091013121107,0.0327267280094397,0.6169963642285267,✓ Good
VO1,VO,F1,0.8273680964074575,0.07348877407735138,0.6899385668682918,✓ Good
TR1,TR,F1,0.7585401949581487,0.03359833134520933,0.5765120752363287,✓ Good
EX1,EX,F1,0.5200213972832936,0.08123138107818208,0.27702079090433784,⚠️ Low communality (0.28)
EX2,EX,F1,0.5609349433458409,0.0551087286626891,0.3176849826412197,⚠️ Low communality (0.32)
ER1,ER,F2,0.6478464717419962,0.11605546215675512,0.43317392124497106,✓ Good
ER2,ER,F2,0.5374217978240285,0.18761459788048943,0.32402142611426876,⚠️ Low communality (0.32)
AX1,AX,F2,0.5551585630202317,0.450295674734201,0.5109672247790179,⚠️ Cross-loading (0.45)
AX2,AX,F2,0.5331138741313356,0.1871014242001581,0.31921734572904903,⚠️ Low communality (0.32)
