,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
PE1,218.0,3.665137614678899,1.1289141756564007,1.0,3.0,4.0,4.0,5.0,-0.8049025086813544,-0.012305959637531227
PE2,218.0,3.3944954128440368,1.1798488431174516,1.0,3.0,4.0,4.0,5.0,-0.6028455958271564,-0.4587930154492561
EE1,218.0,3.7844036697247705,0.9904311133122211,1.0,3.0,4.0,5.0,5.0,-0.560735606743249,-0.19556700851020503
EE2,218.0,3.669724770642202,1.007392453434173,1.0,3.0,4.0,4.0,5.0,-0.5274773631472996,-0.48390067589302266
SI1,218.0,3.197247706422018,1.180717482067642,1.0,2.0,3.0,4.0,5.0,-0.15169357530548125,-0.8324534622543984
SI2,218.0,3.4174311926605503,1.1298500399412539,1.0,3.0,4.0,4.0,5.0,-0.2378464989160044,-0.8501690484459816
FC1,218.0,3.243119266055046,1.2183593238167696,1.0,2.0,3.0,4.0,5.0,-0.15190787800511996,-1.0779753935520047
FC2,218.0,3.44954128440367,1.1070468752505602,1.0,3.0,4.0,4.0,5.0,-0.7146223717591648,-0.18587291430064123
HM1,218.0,3.36697247706422,1.2193565611428558,1.0,3.0,4.0,4.0,5.0,-0.4565749877825483,-0.7004713583017588
HM2,218.0,3.4403669724770642,1.1752532242918134,1.0,3.0,4.0,4.0,5.0,-0.6893092457894994,-0.38771263413313983
PV1,218.0,3.5091743119266057,1.2000031708409467,1.0,3.0,4.0,4.0,5.0,-0.5304979765143485,-0.6437306552254225
PV2,218.0,3.5045871559633026,1.1328676000668725,1.0,3.0,4.0,4.0,5.0,-0.6832368158737734,-0.27635099029825927
HB1,218.0,3.2155963302752295,1.2606540846292698,1.0,2.0,3.5,4.0,5.0,-0.3580589096915223,-0.9573325271890445
HB2,218.0,3.0458715596330275,1.2943359139270716,1.0,2.0,3.0,4.0,5.0,-0.1245092672603126,-1.222208210417375
VO1,218.0,3.458715596330275,1.2629576149558577,1.0,3.0,4.0,4.0,5.0,-0.6819248373417806,-0.5927418703650762
VO2,218.0,3.9128440366972477,1.0414099727406696,1.0,3.25,4.0,5.0,5.0,-0.9855035497028591,0.481658059199801
TR1,218.0,3.3256880733944953,1.2329503538522846,1.0,3.0,4.0,4.0,5.0,-0.4934156592235819,-0.6481882384378204
TR2,218.0,3.385321100917431,1.1828907564016,1.0,3.0,4.0,4.0,5.0,-0.5155267780614413,-0.5847382418420617
EX1,218.0,3.376146788990826,1.1583317960680648,1.0,3.0,4.0,4.0,5.0,-0.5211678265180967,-0.5879803716651333
EX2,218.0,3.853211009174312,0.9438199476164894,1.0,3.0,4.0,4.0,5.0,-0.9635841919210522,1.105207137763598
ER1,218.0,3.229357798165138,1.278197373557152,1.0,2.0,3.5,4.0,5.0,-0.1972682904862496,-1.1699103822760528
ER2,218.0,3.7752293577981653,1.0603586875349877,1.0,3.0,4.0,5.0,5.0,-0.8504411994496677,0.22767101600907136
AX1,218.0,3.669724770642202,1.1444520220665257,1.0,3.0,4.0,5.0,5.0,-0.6097990298192049,-0.5461538977320148
AX2,218.0,3.2339449541284404,1.2201624265590232,1.0,2.0,4.0,4.0,5.0,-0.25739210907537285,-1.0449168351724354
BI1,218.0,3.3256880733944953,1.1988399669299958,1.0,2.0,4.0,4.0,5.0,-0.4406803634810847,-0.7329453307146392
BI2,218.0,3.270642201834862,1.257295961205369,1.0,2.0,4.0,4.0,5.0,-0.48167822827399437,-0.7936495507680208
BI3,218.0,3.3256880733944953,1.2551757304198405,1.0,2.0,4.0,4.0,5.0,-0.4811307383067782,-0.8136236275212032
BI4,218.0,3.0688073394495414,1.2699430117266846,1.0,2.0,3.0,4.0,5.0,-0.2936496303701002,-1.044467941375251
